application_id,scenario_id,metric_id,risk_transform,raw_baseline,raw_comparison,risk_baseline,risk_comparison,kappa_reported,xi_reported,kappa_calculated,xi_calculated,kappa_abs_error_vs_reported,xi_abs_error_vs_reported,scenario_class,scenario_type,included_in_core_statistics,kappa_tolerance,xi_tolerance
AI.01,AI.01.C1,p95_sync_latency_drift,identity,0.46,0.161,0.46,0.161,0.3501,760.0,0.35,760.0672060672287,0.0001000000000000445,0.06720606722865341,Synchronization-Latency Drift,core,True,0.001,1.0
AI.01,AI.01.C1,collective_wait_share,identity,0.38,0.117,0.38,0.117,0.308,805.0,0.3078947368421053,805.1305114700884,0.0001052631578947194,0.130511470088436,Synchronization-Latency Drift,core,True,0.001,1.0
AI.01,AI.01.C1,iteration_time_variance,identity,0.31,0.1161,0.31,0.1161,0.3747,735.0,0.37451612903225806,735.1509152266328,0.00018387096774191702,0.15091522663283286,Synchronization-Latency Drift,core,True,0.001,1.0
AI.01,AI.01.C1,effective_throughput_deficit,identity,0.34,0.1094,0.34,0.1094,0.3217,790.0,0.3217647058823529,789.9291897638074,6.470588235291119e-05,0.07081023619264215,Synchronization-Latency Drift,core,True,0.001,1.0
AI.01,AI.01.C1,cost_per_useful_step_overhead,x_minus_one,1.62,1.1827,0.62,0.1827,0.2947,820.0,0.2946774193548387,819.9877203820828,2.2580645161307533e-05,0.012279617917215546,Synchronization-Latency Drift,core,True,0.001,1.0
AI.01,AI.01.C2,straggler_tail_share,identity,0.42,0.0933,0.42,0.0933,0.222,910.0,0.22214285714285714,909.8730283871122,0.00014285714285713902,0.12697161288781444,Straggler Cascade Propagation,core,True,0.001,1.0
AI.01,AI.01.C2,barrier_delay_amplification,x_minus_one,1.88,1.1649,0.88,0.1649,0.1874,960.0,0.18738636363636363,959.9473886543017,1.363636363638232e-05,0.05261134569832393,Straggler Cascade Propagation,core,True,0.001,1.0
AI.01,AI.01.C2,node_progress_skew,identity,0.36,0.0735,0.36,0.0735,0.2042,935.0,0.20416666666666666,935.0423801747897,3.333333333332966e-05,0.04238017478974143,Straggler Cascade Propagation,core,True,0.001,1.0
AI.01,AI.01.C2,rerun_exposure,identity,0.29,0.0733,0.29,0.0733,0.2527,870.0,0.2527586206896552,869.9535469922535,5.862068965523104e-05,0.0464530077465497,Straggler Cascade Propagation,core,True,0.001,1.0
AI.01,AI.01.C2,useful_work_loss,identity,0.33,0.0697,0.33,0.0697,0.2112,925.0,0.21121212121212118,925.0054591766918,1.2121212121185554e-05,0.005459176691829271,Straggler Cascade Propagation,core,True,0.001,1.0
AI.01,AI.01.C3,topology_path_asymmetry,identity,0.39,0.1099,0.39,0.1099,0.2817,835.0,0.2817948717948718,834.8524779430079,9.487179487177588e-05,0.14752205699210208,Topology-Induced Capacity Loss,core,True,0.001,1.0
AI.01,AI.01.C3,inaccessible_capacity_share,identity,0.27,0.0672,0.27,0.0672,0.2487,875.0,0.24888888888888885,874.8195249231702,0.00018888888888884958,0.18047507682979358,Topology-Induced Capacity Loss,core,True,0.001,1.0
AI.01,AI.01.C3,cross_partition_sync_penalty,identity,0.44,0.1166,0.44,0.1166,0.2649,855.0,0.265,854.8646007997136,9.999999999998899e-05,0.13539920028642882,Topology-Induced Capacity Loss,core,True,0.001,1.0
AI.01,AI.01.C3,placement_efficiency_deficit,identity,0.32,0.0957,0.32,0.0957,0.2991,815.0,0.29906249999999995,815.0162060418379,3.7500000000023626e-05,0.016206041837904195,Topology-Induced Capacity Loss,core,True,0.001,1.0
AI.01,AI.01.C3,cost_per_delivered_capacity_overhead,x_minus_one,1.71,1.1683,0.71,0.1683,0.2371,890.0,0.2370422535211268,890.0256307328075,5.774647887321627e-05,0.0256307328074854,Topology-Induced Capacity Loss,core,True,0.001,1.0
AI.01,AI.01.B1,link_saturation_exposure,identity,0.58,0.0696,0.58,0.0696,0.1201,1080.0,0.12,1080.1624023504185,0.00010000000000000286,0.16240235041846063,Interconnect Saturation Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B1,queueing_tail_inflation,identity,0.47,0.0408,0.47,0.0408,0.0867,1160.0,0.08680851063829788,1159.709545882041,0.00010851063829787899,0.29045411795891596,Interconnect Saturation Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B1,microburst_amplification,identity,0.35,0.0528,0.35,0.0528,0.151,1020.0,0.15085714285714286,1020.2071155266093,0.00014285714285713902,0.2071155266093001,Interconnect Saturation Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B1,sync_recovery_delay,identity,0.41,0.0293,0.41,0.0293,0.0715,1205.0,0.07146341463414635,1204.9760503067923,3.658536585364469e-05,0.023949693207669043,Interconnect Saturation Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B1,usable_capacity_margin_deficit,identity,0.26,0.047,0.26,0.047,0.1809,970.0,0.18076923076923077,970.197147718431,0.00013076923076923985,0.19714771843098333,Interconnect Saturation Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B2,fabric_generation_asymmetry,identity,0.37,0.0569,0.37,0.0569,0.1538,1015.0,0.1537837837837838,1015.0119228076919,1.6216216216197177e-05,0.011922807691917114,Heterogeneous Fabric Boundary,boundary,True,0.001,1.0
AI.01,AI.01.B2,protocol_path_mismatch,identity,0.29,0.0322,0.29,0.0322,0.1109,1100.0,0.1110344827586207,1099.7640738922944,0.00013448275862069925,0.23592610770560896,Heterogeneous Fabric Boundary,boundary,True,0.001,1.0
